cell_type,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
CD4 T conv,ITK,13.360544,1.8780909,1.028091514760683e-40,1.6198468100843146e-37,0.6178861788617886,0.45377726419182435
CD4 T conv,TNFAIP3,13.296256,1.8162678,2.433506476658468e-40,3.7063925977159573e-37,0.8654019873532068,0.786580962010689
CD4 T conv,HLA-A,12.786054,0.53294605,1.9618574824311075e-37,2.7163997602194597e-34,0.9968383017163505,0.9968944099378882
CD4 T conv,FYN,12.65429,1.9187062,1.0592809634907672e-36,1.4235489936417687e-33,0.7976513098464318,0.638957099523328
CD4 T conv,LAT,12.615136,2.0898702,1.7425631438912465e-36,2.274891290590824e-33,0.530713640469738,0.3854542828253647
CD4 T conv,TRAV8-2,12.571746,4.264645,3.019809741501004e-36,3.832809630796219e-33,0.1892502258355917,0.023761375126390292
CD4 T conv,ZAP70,12.526704,1.8935469,5.33333818693165e-36,6.586240228034621e-33,0.6716350496838301,0.5151668351870576
CD4 T conv,CTLA4,12.459088,1.9418402,1.247887877272314e-35,1.5004866549559625e-32,0.46025293586269195,0.3024700274447494
CD4 T conv,CD5,11.588865,1.7104871,4.693073581071479e-31,5.105617096817095e-28,0.44941282746160793,0.30767008522316913
CD4 T conv,ITM2A,11.519077,1.9514607,1.0573676832204163e-30,1.0980282768569833e-27,0.5564588979223125,0.41542683807597863
CD4 T conv,EVL,11.421315,1.5950258,3.272449234363128e-30,3.31515478333298e-27,0.7317073170731707,0.6229235880398671
CD4 T conv,PRKCH,11.419604,1.6489027,3.337501532726015e-30,3.31515478333298e-27,0.7181571815718157,0.5821898021089124
CD4 T conv,DGKA,11.395806,1.8013718,4.3875080826980916e-30,4.265404666268962e-27,0.5392953929539296,0.4265491838798209
CD4 T conv,PTPRC,11.390044,0.7865134,4.687494614380397e-30,4.429124432468433e-27,0.9846431797651309,0.9794164379604218
CD4 T conv,CD28,11.299193,1.5883393,1.3242850517041146e-29,1.2101846516492882e-26,0.4268292682926829,0.28166979633107037
CD4 T conv,CD6,11.275338,1.4478099,1.7370920856023501e-29,1.556298266183188e-26,0.5311653116531165,0.3866098512205691
CD4 T conv,ICOS,11.1851,1.7963918,4.823636718876836e-29,4.238492479979239e-26,0.3947606142728094,0.25306947854976164
CD8 exhausted/dysfunctional,CCL5,48.98683,6.673108,0.0,0.0,0.8924702774108322,0.5580448065173116
CD8 exhausted/dysfunctional,NKG7,44.3473,7.0102916,0.0,0.0,0.8153236459709379,0.4294093686354379
CD8 exhausted/dysfunctional,PDCD1,43.927795,5.950794,0.0,0.0,0.661558784676354,0.21979633401221996
CD8 exhausted/dysfunctional,PRF1,43.025795,5.7917595,0.0,0.0,0.7706737120211361,0.36814663951120163
CD8 exhausted/dysfunctional,LYST,39.754993,4.1448803,0.0,0.0,0.8206076618229855,0.5184521384928716
CD8 exhausted/dysfunctional,CD8A,39.699257,5.849808,0.0,0.0,0.711228533685601,0.3490020366598778
CD8 exhausted/dysfunctional,TIGIT,39.23631,5.217461,0.0,0.0,0.6964332892998679,0.30615071283095724
CD8 exhausted/dysfunctional,HAVCR2,38.071346,4.9950275,0.0,0.0,0.6110964332892999,0.24977596741344196
CD8 exhausted/dysfunctional,CST7,37.05211,5.1342735,1.660751911680213e-300,8.431452927610256e-297,0.8163804491413474,0.4769857433808554
CD8 exhausted/dysfunctional,DUSP4,36.687473,4.1170382,1.1568759920602672e-294,5.285997782921773e-291,0.7178335535006605,0.3826476578411405
CD8 exhausted/dysfunctional,TRBC2,35.730225,4.2220035,1.342087076666115e-279,5.574785700638921e-276,0.9833553500660502,0.7661914460285132
CD8 exhausted/dysfunctional,CBLB,35.306534,3.7562666,4.661894760666468e-273,1.7750941283697687e-269,0.8282694848084544,0.5474541751527495
CD8 exhausted/dysfunctional,CTLA4,35.211586,4.53457,1.3293077841739555e-271,4.672210098036645e-268,0.5997357992073976,0.23926680244399184
CD8 exhausted/dysfunctional,RGS1,35.113754,4.4773235,4.157326788293714e-270,1.3568326829336884e-266,0.9011889035667107,0.6973523421588594
CD8 exhausted/dysfunctional,TOX,34.715946,3.6573267,4.527840876985565e-264,1.3792407023414963e-260,0.5931307793923382,0.2484725050916497
CD8 exhausted/dysfunctional,KLRK1,33.35217,4.93383,6.775475343959025e-244,1.9349063713510984e-240,0.7495376486129458,0.41670061099796335
CD8 exhausted/dysfunctional,CD2,32.157692,4.11813,6.894965200407831e-227,1.8532044113943213e-223,0.857331571994716,0.5757230142566191
CD8 exhausted/dysfunctional,LAG3,32.13383,4.050956,1.4858065551712104e-226,3.771637395493497e-223,0.48877146631439894,0.15421588594704685
CD8 exhausted/dysfunctional,PRDM1,32.11952,3.4540966,2.3545169341356175e-226,5.662241460764455e-223,0.7915455746367239,0.5141344195519348
CD8 exhausted/dysfunctional,HLA-A,31.729012,1.0400447,6.18535767924623e-221,1.4131068154005936e-217,0.9986789960369881,0.9963340122199593
CD8 exhausted/dysfunctional,CXCL13,31.671446,5.5149055,3.843018677930007e-220,8.361676639617995e-217,0.4430647291941876,0.10639511201629327
CD8 exhausted/dysfunctional,CCL4,31.638145,5.125692,1.1038861125779175e-219,2.292671102541373e-216,0.6750330250990753,0.3445213849287169
CD8 exhausted/dysfunctional,APOBEC3C,30.33985,2.6330974,3.419867782697426e-202,6.793939075087425e-199,0.8811096433289299,0.7553564154786151
CD8 exhausted/dysfunctional,CD27,30.069012,3.949422,1.2320780707530457e-198,2.3456713003686735e-195,0.6243064729194188,0.3404480651731161
CD8 exhausted/dysfunctional,PRKCH,29.871683,3.2955625,4.591167606599417e-196,8.391185211229623e-193,0.7873183619550859,0.5434623217922607
CD8 exhausted/dysfunctional,GAPDH,29.863934,1.9192853,5.788407903400356e-196,1.0172458997006502e-192,0.9762219286657859,0.9208146639511202
CD8 exhausted/dysfunctional,CD3G,29.705595,3.6920738,6.501769432722555e-194,1.1002920330368853e-190,0.8972258916776751,0.6269653767820774
CD8 exhausted/dysfunctional,CCL4L1,29.609941,3.7101648,1.1129449327666781e-192,1.816167138141966e-189,0.6338177014531043,0.31780040733197557
