Symbol,Manning_Name,Group,Family,SubFamily,UniProtID,Entrez,Synonyms,Kinase_Name,found,needs_denovo_design
PDK2,PDHK2,Atypical,PDHK,,Q15119,5164,PDHK2,[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 2,True,False
PDK3,PDHK3,Atypical,PDHK,,Q15120,5165,PDHK3,[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 3,True,False
PDK4,PDHK4,Atypical,PDHK,,Q16654,5166,PDHK4,[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 4,True,False
ATM,ATM,Atypical,PIKK,ATM,Q13315,472,,Serine-protein kinase ATM,True,False
ATR,ATR,Atypical,PIKK,ATR,Q13535,545,FRP1,Serine/threonine-protein kinase ATR,True,False
MTOR,FRAP,Atypical,PIKK,FRAP,P42345,2475,FRAP FRAP1 FRAP2 RAFT1 RAPT1,Serine/threonine-protein kinase mTOR,True,False
PRKDC,DNAPK,Atypical,PIKK,DNAPK,P78527,5591,HYRC HYRC1,DNA-dependent protein kinase catalytic subunit,True,False
SMG1,SMG1,Atypical,PIKK,SMG1,Q96Q15,23049,ATX KIAA0421 LIP,Serine/threonine-protein kinase SMG1,True,False
TRRAP,TRRAP,Atypical,PIKK,TRRAP,Q9Y4A5,8295,PAF400,Transformation/transcription domain-associated protein,True,False
RIOK1,RIOK1,Atypical,RIO,RIO1,Q9BRS2,83732,RIO1,Serine/threonine-protein kinase RIO1,True,False
RIOK2,RIOK2,Atypical,RIO,RIO2,Q9BVS4,55781,RIO2,Serine/threonine-protein kinase RIO2,True,False
RIOK3,RIOK3,Atypical,RIO,RIO3,O14730,8780,SUDD,Serine/threonine-protein kinase RIO3,True,False
TAF1,TAF1,Atypical,TAF1,,P21675,6872,BA2R CCG1 CCGS TAF2A,Transcription initiation factor TFIID subunit 1,True,False
TAF1L,TAF1L,Atypical,TAF1,,Q8IZX4,138474,,Transcription initiation factor TFIID subunit 1-like,True,False
TRIM24,TIF1a,Atypical,TIF1,,O15164,8805,RNF82 TIF1 TIF1A,Transcription intermediary factor 1-alpha,True,False
TRIM28,TIF1b,Atypical,TIF1,,Q13263,10155,KAP1 RNF96 TIF1B,Transcription intermediary factor 1-beta,True,False
TRIM33,TIF1g,Atypical,TIF1,,Q9UPN9,51592,KIAA1113 RFG7 TIF1G,E3 ubiquitin-protein ligase TRIM33,True,False
TRIM66,TIF1D,Atypical,TIF1,,B5MCJ9,,,Tripartite motif-containing protein 66,True,False
CAMKV,VACAMKL,CAMK,CAMK-Unique,,Q8NCB2,79012,,CaM kinase-like vesicle-associated protein,True,False
CAMK1,CaMK1a,CAMK,CAMK1,,Q14012,8536,,Calcium/calmodulin-dependent protein kinase type 1,True,False
CAMK1D,CaMK1d,CAMK,CAMK1,,Q8IU85,57118,CAMKID,Calcium/calmodulin-dependent protein kinase type 1D,True,False
CAMK1G,CaMK1g,CAMK,CAMK1,,Q96NX5,57172,CLICK3 VWS1,Calcium/calmodulin-dependent protein kinase type 1G,True,False
CAMK4,CaMK4,CAMK,CAMK1,,Q16566,814,CAMK CAMK-GR CAMKIV,Calcium/calmodulin-dependent protein kinase type IV,True,False
PNCK,CaMK1b,CAMK,CAMK1,,Q6P2M8,139728,,Calcium/calmodulin-dependent protein kinase type 1B,True,False
CAMK2A,CaMK2a,CAMK,CAMK2,,Q9UQM7,815,CAMKA KIAA0968,Calcium/calmodulin-dependent protein kinase type II subunit alpha,True,False
CAMK2B,CaMK2b,CAMK,CAMK2,,Q13554,816,CAM2 CAMK2 CAMKB,Calcium/calmodulin-dependent protein kinase type II subunit beta,True,False
CAMK2D,CaMK2d,CAMK,CAMK2,,Q13557,817,CAMKD,Calcium/calmodulin-dependent protein kinase type II subunit delta,True,False
CAMK2G,CaMK2g,CAMK,CAMK2,,Q13555,818,CAMK CAMK-II CAMKG,Calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma,True,False
BRSK1,BRSK1,CAMK,CAMKL,BRSK,Q8TDC3,84446,KIAA1811 SAD1 SADB,Serine/threonine-protein kinase BRSK1,True,False
BRSK2,BRSK2,CAMK,CAMKL,BRSK,Q8IWQ3,9024,C11orf7 PEN11B SADA STK29,Serine/threonine-protein kinase BRSK2,True,False
CHEK1,CHK1,CAMK,CAMKL,CHK1,O14757,1111,CHK1,Serine/threonine-protein kinase Chk1,True,False
HUNK,HUNK,CAMK,CAMKL,HUNK,P57058,30811,MAKV,Hormonally up-regulated neu tumor-associated kinase,True,False
MARK1,MARK1,CAMK,CAMKL,MARK,Q9P0L2,4139,KIAA1477 MARK,Serine/threonine-protein kinase MARK1,True,False
MARK2,MARK2,CAMK,CAMKL,MARK,Q7KZI7,2011,EMK1,Serine/threonine-protein kinase MARK2,True,False
MARK3,MARK3,CAMK,CAMKL,MARK,P27448,4140,CTAK1 EMK2,MAP/microtubule affinity-regulating kinase 3,True,False
MARK4,MARK4,CAMK,CAMKL,MARK,Q96L34,57787,KIAA1860 MARKL1,MAP/microtubule affinity-regulating kinase 4,True,False
MELK,MELK,CAMK,CAMKL,MELK,Q14680,9833,KIAA0175,Maternal embryonic leucine zipper kinase,True,False
NIM1K,NIM1,CAMK,CAMKL,NIM1,Q8IY84,167359,NIM1,Serine/threonine-protein kinase NIM1,True,False
NUAK1,NuaK1,CAMK,CAMKL,NuaK,O60285,9891,ARK5 KIAA0537 OMPHK1,NUAK family SNF1-like kinase 1,True,False
NUAK2,NuaK2,CAMK,CAMKL,NuaK,Q9H093,81788,OMPHK2 SNARK,NUAK family SNF1-like kinase 2,True,False
PASK,PASK,CAMK,CAMKL,PASK,Q96RG2,23178,KIAA0135,PAS domain-containing serine/threonine-protein kinase,True,False
PRKAA1,AMPKa1,CAMK,CAMKL,AMPK,Q13131,5562,AMPK1,5'-AMP-activated protein kinase catalytic subunit alpha-1,True,False
PRKAA2,AMPKa2,CAMK,CAMKL,AMPK,P54646,5563,AMPK AMPK2,5'-AMP-activated protein kinase catalytic subunit alpha-2,True,False
SIK1,SIK,CAMK,CAMKL,QIK,P57059,102724428,SIK SNF1LK,Serine/threonine-protein kinase SIK1,True,False
SIK2,QIK,CAMK,CAMKL,QIK,Q9H0K1,23235,KIAA0781 QIK SNF1LK2,Serine/threonine-protein kinase SIK2,True,False
SIK3,QSK,CAMK,CAMKL,QIK,Q9Y2K2,23387,KIAA0999 QSK,Serine/threonine-protein kinase SIK3,True,False
SNRK,SNRK,CAMK,CAMKL,SNRK,Q9NRH2,54861,KIAA0096 SNFRK,SNF-related serine/threonine-protein kinase,True,False
STK11,LKB1,CAMK,CAMKL,LKB,Q15831,6794,LKB1 PJS,Serine/threonine-protein kinase STK11,True,False
CASK,CASK,CAMK,CASK,,O14936,8573,LIN2,Peripheral plasma membrane protein CASK,True,False
DAPK1,DAPK1,CAMK,DAPK,,P53355,1612,DAPK,Death-associated protein kinase 1,True,False
DAPK2,DAPK2,CAMK,DAPK,,Q9UIK4,23604,,Death-associated protein kinase 2,True,False
DAPK3,DAPK3,CAMK,DAPK,,O43293,1613,ZIPK,Death-associated protein kinase 3,True,False
STK17A,DRAK1,CAMK,DAPK,,Q9UEE5,9263,DRAK1,Serine/threonine-protein kinase 17A,True,False
STK17B,DRAK2,CAMK,DAPK,,O94768,9262,DRAK2,Serine/threonine-protein kinase 17B,True,False
DCLK1,DCAMKL1,CAMK,DCAMKL,,O15075,9201,DCAMKL1 DCDC3A KIAA0369,Serine/threonine-protein kinase DCLK1,True,False
DCLK2,DCAMKL2,CAMK,DCAMKL,,Q8N568,166614,DCAMKL2 DCDC3B DCK2,Serine/threonine-protein kinase DCLK2,True,False
DCLK3,DCAMKL3,CAMK,DCAMKL,,Q9C098,85443,DCAMKL3 DCDC3C KIAA1765,Serine/threonine-protein kinase DCLK3,True,False
MAPKAPK2,MAPKAPK2,CAMK,MAPKAPK,MK2,P49137,9261,,MAP kinase-activated protein kinase 2,True,False
MAPKAPK3,MAPKAPK3,CAMK,MAPKAPK,MK2,Q16644,7867,,MAP kinase-activated protein kinase 3,True,False
MAPKAPK5,MAPKAPK5,CAMK,MAPKAPK,MK5,Q8IW41,8550,PRAK,MAP kinase-activated protein kinase 5,True,False
MKNK1,MNK1,CAMK,MAPKAPK,MNK,Q9BUB5,8569,MNK1,MAP kinase-interacting serine/threonine-protein kinase 1,True,False
MKNK2,MNK2,CAMK,MAPKAPK,MNK,Q9HBH9,2872,GPRK7 MNK2,MAP kinase-interacting serine/threonine-protein kinase 2,True,False
MYLK,smMLCK,CAMK,MLCK,,Q15746,4638,MLCK MLCK1 MYLK1,Myosin light chain kinase,True,False
MYLK2,skMLCK,CAMK,MLCK,,Q9H1R3,85366,,Myosin light chain kinase 2,True,False
MYLK3,caMLCK,CAMK,MLCK,,Q32MK0,91807,MLCK,Myosin light chain kinase 3,True,False
MYLK4,SgK085,CAMK,MLCK,,Q86YV6,340156,SGK085,Myosin light chain kinase family member 4,True,False
TTN,TTN,CAMK,MLCK,,Q8WZ42,7273,,Titin,True,False
PHKG1,PHKg1,CAMK,PHK,,Q16816,5260,PHKG,Phosphorylase b kinase gamma catalytic chain,True,False
PHKG2,PHKg2,CAMK,PHK,,P15735,5261,,Phosphorylase b kinase gamma catalytic chain,True,False
PIM1,PIM1,CAMK,PIM,,P11309,5292,,Serine/threonine-protein kinase pim-1,True,False
PIM2,PIM2,CAMK,PIM,,Q9P1W9,11040,,Serine/threonine-protein kinase pim-2,True,False
PIM3,PIM3,CAMK,PIM,,Q86V86,415116,,Serine/threonine-protein kinase pim-3,True,False
PRKD1,PKD1,CAMK,PKD,,Q15139,5587,PKD PKD1 PRKCM,Serine/threonine-protein kinase D1,True,False
PRKD2,PKD2,CAMK,PKD,,Q9BZL6,25865,PKD2,Serine/threonine-protein kinase D2,True,False
PRKD3,PKD3,CAMK,PKD,,O94806,23683,EPK2 PRKCN,Serine/threonine-protein kinase D3,True,False
PSKH1,PSKH1,CAMK,PSK,,P11801,5681,,Serine/threonine-protein kinase H1,True,False
PSKH2,PSKH2,CAMK,PSK,,Q96QS6,85481,,Serine/threonine-protein kinase H2,True,False
CHEK2,CHK2,CAMK,RAD53,,O96017,11200,CDS1 CHK2 RAD53,Serine/threonine-protein kinase Chk2,True,False
RPS6KA4,Domain2_MSK2,CAMK,RSKb,MSKb,O75676,8986,MSK2,Ribosomal protein S6 kinase alpha-4,True,False
